airline_origin,min_taxi,max_taxi,avg_taxi
MQ-SAN,0.0,983.0,18.249454
MQ-SAV,0.0,865.0,22.985086
MQ-SBA,0.0,1011.0,18.13498
MQ-SDF,0.0,938.0,23.683634
MQ-SFO,0.0,1414.0,20.163584
MQ-SGF,0.0,939.0,21.387922
MQ-SHV,0.0,802.0,18.5529
MQ-SJT,0.0,705.0,19.011765
MQ-SPI,7.0,86.0,23.43
MQ-STT,0.0,31.0,17.064516
MQ-STX,20.0,20.0,20.0
MQ-SWF,0.0,1001.0,24.185047
MQ-SYR,0.0,905.0,24.495378
MQ-TPA,0.0,95.0,19.95352
MQ-TUL,0.0,640.0,20.984165
MQ-TXK,0.0,451.0,19.502611
MQ-TYS,0.0,940.0,23.414309
MQ-XNA,0.0,1302.0,21.02524
NW-ABE,0.0,131.0,20.382854
NW-ABQ,0.0,163.0,22.606947
NW-ATL,0.0,250.0,27.436892
NW-AUS,0.0,129.0,20.623253
NW-AZO,0.0,251.0,21.997753
NW-BDL,0.0,210.0,24.443577
NW-BIL,0.0,140.0,18.443007
NW-BOS,0.0,219.0,28.059834
NW-BTV,0.0,61.0,23.45609
NW-BUF,0.0,165.0,24.137167
NW-BWI,0.0,221.0,24.65684
NW-BZN,0.0,133.0,21.996212
NW-CLE,0.0,253.0,26.571692
NW-CMH,0.0,215.0,21.658665
NW-DCA,0.0,221.0,23.774403
NW-DEN,0.0,231.0,23.886717
NW-DFW,0.0,224.0,25.61917
NW-DTW,0.0,291.0,26.0411
NW-EWR,0.0,302.0,28.979338
NW-FAR,0.0,206.0,18.25837
NW-FLL,0.0,222.0,27.499638
NW-FNT,0.0,227.0,23.061985
NW-FWA,0.0,118.0,20.186705
NW-GFK,0.0,142.0,16.37281
NW-GPT,0.0,107.0,16.512787
NW-GRR,0.0,184.0,21.051067
NW-GSO,0.0,143.0,26.054636
NW-HDN,0.0,144.0,24.016167
NW-HNL,0.0,146.0,26.974346
NW-HOU,0.0,89.0,20.216923
NW-IAD,0.0,211.0,26.030874
NW-IND,0.0,166.0,24.2009
NW-JAN,0.0,110.0,16.915764
NW-KOA,0.0,88.0,21.276596
NW-LEX,0.0,100.0,21.277592
NW-LGA,0.0,297.0,32.9524
NW-LSE,0.0,115.0,17.043446
NW-MBS,0.0,166.0,20.395838
NW-MCI,0.0,194.0,21.14033
NW-MCO,0.0,201.0,25.407507
NW-MHT,0.0,197.0,25.983952
NW-MIA,0.0,193.0,24.472979
NW-MIB,0.0,33.0,12.617977
NW-MKE,0.0,177.0,23.079468
NW-MSN,0.0,193.0,22.00891
NW-MSP,0.0,386.0,25.283258
NW-MYR,0.0,92.0,24.42527
NW-OGG,0.0,82.0,19.170883
NW-OKC,0.0,145.0,17.263645
NW-OMA,0.0,208.0,19.500288
NW-ONT,0.0,148.0,20.425526
NW-ORD,0.0,241.0,25.015656
